Consigliati,Tipologia,Titolo,Breve descrizione,Creatore/i Principali,Anno Inizio,Valutazione (1-5),Tag tematici (keywords),Link Wikipedia,Link Streaming
TRUE,Serie TV,Black Mirror,Storie antologiche sul lato oscuro della tecnologia futura.,Charlie Brooker,2011,4,"Distopia, Futuro, Digitale, AI",https://it.wikipedia.org/wiki/Black_Mirror,https://www.netflix.com/title/70264888
TRUE,Serie TV,"Love, Death & Robots","Antologia animata sci-fi con episodi su AI, robot, futuro.",Tim Miller,2019,4,"AI, Robot, Futuro, Digitale, Animaz.","https://it.wikipedia.org/wiki/Love,Death%26_Robots",https://www.netflix.com/title/80174608
TRUE,Serie TV,Mr. Robot,Hacker con disturbi antisociali combatte le corporazioni.,Sam Esmail,2015,5,"Internet, Digitale, Cybersec, Distopia",https://it.wikipedia.org/wiki/Mr._Robot,https://www.primevideo.com/detail/0FBFHGWIS2A2Z1Q1IY3G94K3C5/ (Verificare)
FALSE,Serie TV,Altered Carbon,La coscienza umana può essere trasferita tra corpi in un futuro cyberpunk.,Laeta Kalogridis,2018,4,"Futuro, Digitale, Distopia, AI",https://it.wikipedia.org/wiki/Altered_Carbon,https://www.netflix.com/title/80097140
FALSE,Serie TV,Travelers,Coscienze dal futuro inviate nel passato per salvare l'umanità.,Brad Wright,2016,5,"Futuro, AI, Distopia, Time Travel",https://it.wikipedia.org/wiki/Travelers_(serie_televisiva,https://www.netflix.com/title/80105699
FALSE,Serie TV,Better Than Us,"Androidi avanzati si integrano nella società russa, sollevando questioni etiche.",Andrey Junkovsky,2018,N/A,"Robot, AI, Futuro, Etica",https://it.wikipedia.org/wiki/Better_Than_Us,https://www.netflix.com/title/81026915
FALSE,Serie TV,The One,Un test del DNA promette di trovare l'anima gemella scientificamente perfetta.,Howard Overman,2021,3,"Futuro, Digitale, Biotech, Relazioni",https://it.wikipedia.org/wiki/The_One_(serie_televisiva,https://www.netflix.com/title/80199018
FALSE,Serie TV,Maniac,Esperimento farmaceutico che esplora realtà digitali e IA per curare la mente.,"Patrick Somerville, Cary Joji Fukunaga",2018,4,"Futuro, Digitale, AI, Psicologia",https://it.wikipedia.org/wiki/Maniac_(miniserie_televisiva,https://www.netflix.com/title/80124522
FALSE,Serie TV,Osmosis,App futuristica scava nel cervello per trovare l'anima gemella perfetta.,Audrey Fouché,2019,5,"Futuro, Digitale, AI, Amore",https://it.wikipedia.org/wiki/Osmosis_(serie_televisiva,https://www.netflix.com/title/80160216
FALSE,Serie TV,3%,"In un futuro distopico, giovani competono per accedere a un'isola privilegiata.",Pedro Aguilera,2016,5,"Distopia, Futuro, Disuguaglianza",https://it.wikipedia.org/wiki/3%25,https://www.netflix.com/title/80074220
FALSE,Serie TV,Biohackers,Studenti sperimentano tecnologie genetiche avanzate.,Christian Ditter,2020,N/A,"Futuro, Biotech, Thriller",https://it.wikipedia.org/wiki/Biohackers,https://www.netflix.com/title/80216771
FALSE,Serie TV,Alice in Borderland,"Intrappolati in una Tokyo deserta, partecipano a giochi mortali.",Shinsuke Sato (regia),2020,4,"Distopia, Digitale (Gioco), Survival",https://it.wikipedia.org/wiki/Alice_in_Borderland_(serie_televisiva,https://www.netflix.com/title/80200575
FALSE,Serie TV,The Peripheral (Inverso),Connessioni tra diverse realtà temporali e virtuali in un futuro complesso.,Scott Smith,2022,4,"Futuro, Digitale, VR, Distopia, AI",https://it.wikipedia.org/wiki/Inverso_-_The_Peripheral,https://www.primevideo.com/detail/0S3SL397L186O8PS426C995X7W/
FALSE,Serie TV,Upload,Commedia su un aldilà digitale dove le coscienze possono essere caricate.,Greg Daniels,2020,5,"Futuro, Digitale, AI, Commedia",https://it.wikipedia.org/wiki/Upload_(serie_televisiva,https://www.primevideo.com/detail/0UBA17X9K7QQ8W6MLLXUP221MC/
FALSE,Serie TV,Tales from the Loop,Storie interconnesse in una città costruita sopra una macchina misteriosa.,Nathaniel Halpern,2020,4,"Futuro (Retrofuturismo), Robot, Sci-fi",https://it.wikipedia.org/wiki/Tales_from_the_Loop_(serie_televisiva,https://www.primevideo.com/detail/0F1KCM3F6BTVN6QBG3T0T0H2R1/
FALSE,Serie TV,Philip K. Dick's Electric Dreams,Antologia sci-fi basata sui racconti di Philip K. Dick.,Vari,2017,4,"AI, Futuro, Distopia, Digitale",https://it.wikipedia.org/wiki/Philip_K._Dick%27s_Electric_Dreams,https://www.primevideo.com/detail/0H8716Y409M50MMB01N2X391R4/
FALSE,Serie TV,The Expanse,Tensioni politiche e sociali in un sistema solare colonizzato.,"Mark Fergus, Hawk Ostby",2015,5,"Futuro, Spazio, Politica, Sci-fi",https://it.wikipedia.org/wiki/The_Expanse_(serie_televisiva,https://www.primevideo.com/detail/0U9453Y47N9DAN1Q407331B7CS/
FALSE,Web Serie,H+: The Digital Series,Futuro con umani connessi a Internet tramite impianti neurali.,"John Cabrera, Cosimo De Tommaso",2012,N/A,"Futuro, Digitale, Internet, Transuman.",https://en.wikipedia.org/wiki/H%2B:_The_Digital_Series,https://www.youtube.com/playlist?list=PL641A5C1E76378D7D
FALSE,Web Serie,DR0NE,Drone da combattimento sviluppa una coscienza.,Robert Glickert,2013,N/A,"AI, Robot, Futuro, Guerra",https://en.wikipedia.org/wiki/Drone_(web_series,Cercare episodi su YouTube
