Consigliati,Titolo,Breve descrizione,Regista/Creatore,Anno,Valutazione (1-5),Tag tematici (keywords),Tipologia,Link Wikipedia,Link Streaming
TRUE,Arrival,Una linguista cerca di comunicare con forme di vita extraterrestri arrivate sulla Terra.,Denis Villeneuve,2016,5,"Futuro, Sci-fi, Alieni, Linguistica, Etica",Film,https://it.wikipedia.org/wiki/Arrival,Verificare Netflix/Prime
TRUE,Blade Runner,Un cacciatore di androidi dà la caccia a replicanti fuggitivi in una LA distopica.,Ridley Scott,1982,5,"AI, Distopia, Robot (Replicanti)",Film,https://it.wikipedia.org/wiki/Blade_Runner,Verificare Netflix/Prime
TRUE,Brazil,Un burocrate in un futuro distopico sogna una vita diversa.,Terry Gilliam,1985,5,"Distopia (Burocrazia), Surrealismo",Film,https://it.wikipedia.org/wiki/Brazil_(film,Verificare disponibilità streaming
TRUE,District 9,Extraterrestri rifugiati sulla Terra sono confinati in un ghetto.,Neill Blomkamp,2009,5,"Distopia (Apartheid), Sci-fi, Alieni",Film,https://it.wikipedia.org/wiki/District_9,Verificare Netflix/Prime
TRUE,Eternal Sunshine of the Spotless Mind,Una coppia cancella i ricordi della loro relazione finita.,Michel Gondry,2004,5,"Futuro (tecnologia), Digitale (memoria)",Film,https://it.wikipedia.org/wiki/Se_mi_lasci_ti_cancello,Verificare Prime Video
TRUE,Ex Machina,Un programmatore testa l'intelligenza artificiale di un'androide affascinante.,Alex Garland,2014,5,"AI, Robot, Etica, Thriller",Film,https://it.wikipedia.org/wiki/Ex_Machina_(film,Verificare Netflix/Prime
TRUE,Ghost in the Shell (1995),"Un cyborg della Sezione 9 dà la caccia a un misterioso hacker noto come ""Puppet Master"".",Mamoru Oshii,1995,5,"AI, Internet, Futuro, Cyberpunk",Film,https://it.wikipedia.org/wiki/Ghost_in_the_Shell_(film_1995,Verificare Netflix/Prime
TRUE,Lei (Her),Un uomo si innamora di un sistema operativo AI avanzato.,Spike Jonze,2013,5,"AI, Digitale, Futuro, Amore, Etica",Film,https://it.wikipedia.org/wiki/Lei_(film,Verificare Netflix/Prime
TRUE,Metropolis,"Una città futuristica divisa tra élite e lavoratori, con la creazione di un robot.",Fritz Lang,1927,5,"Robot, Distopia, Futuro, Classismo",Film,https://it.wikipedia.org/wiki/Metropolis_(film_1927,Varie piattaforme (dominio pubblico/restauri)
TRUE,Minority Report,Un poliziotto accusato di un futuro omicidio deve provare la sua innocenza.,Steven Spielberg,2002,5,"Futuro, Distopia, AI (predittiva), Etica",Film,https://it.wikipedia.org/wiki/Minority_Report_(film,Verificare Netflix/Prime
