filename,title,description,tags,url
nessun-titolo-trovato,(Nessun titolo trovato),(Nessuna descrizione trovata),"Codepen, CSS, Animazione",https://codepen.io/meodai/full/XWXyoYK?s=35
hunyuanvideo-a-systematic-framework-for-large-video-generative-models,HunyuanVideo: A Systematic Framework For Large Video Generative Models,"Modello open-source di fondazione per la generazione di video, sviluppato da Tencent. Utilizza un framework sistematico per l'addestramento e l'inferenza di modelli video di grandi dimensioni con 13 miliardi di parametri, eccellendo in qualità visiva, dinamiche di movimento e allineamento testo-video.","AI, Generazione Video, HunyuanVideo, Tencent, Modello Fondazione, Deep Learning",https://github.com/Tencent/HunyuanVideo?s=35
stato-su-x-twitter-di-holly-herndon,(Contenuto non recuperabile),Stato su X (Twitter) di Holly Herndon.,"X, Twitter, Holly Herndon, Social Media",https://x.com/hollyherndon/status/1865087479444812264?t=VyyYY04151xJuzPJK56saw&s=35
top-1000-imdb-dataset-kaggle,Top 1000 IMDB dataset - Kaggle,"Dataset contenente i dati dei primi 1000 film di IMDb, utilizzato per l'analisi dei dati e il data cleaning. Include nomi di film, anno di uscita, durata, valutazioni IMDb, Metascore e descrizioni.","Dataset, Kaggle, IMDb, Film, Analisi Dati, Data Science",https://www.kaggle.com/datasets/fernandogarciah24/top-1000-imdb-dataset
amineyarmanvue-kinesis-easily-create-complex-interactive-animations-with-vuejs-g,amineyarman/vue-kinesis: Easily create complex interactive animations with Vue.js - GitHub,"Set di componenti per Vue.js che aiuta a creare facilmente animazioni interattive dinamiche e complesse, come effetti parallasse, trasformazioni e reazioni all'audio.","Vue.js, Kinesis.js, Animazioni, Interattività, Sviluppo Web, JavaScript",https://github.com/amineyarman/Kinesis.js
markwhen,Markwhen,"Un linguaggio di journaling simile a Markdown per scrivere in modo semplice registri, diagrammi di Gantt, blog, note, diari, timeline e calendari, con funzionalità di condivisione e integrazione con calendari esterni.","Markdown, Journaling, Markwhen, Timeline, Diagramma Gantt, Note",https://markwhen.com
bjesuspipet-github,bjesus/pipet – GitHub,"Strumento ""coltellino svizzero"" per lo scraping e l'estrazione di dati da risorse online, orientato agli hacker.","Scraping, Estrazione Dati, Strumento, Python, Sicurezza",https://github.com/bjesus/pipet?s=35
augustdevenchanted-enchanted-is-ios-and-macos-app-for-chatting-with-private-self,"AugustDev/enchanted: Enchanted is iOS and macOS app for chatting with private self hosted language models such as Llama2, Mistral or Vicuna using Ollama. - GitHub","Applicazione per iOS e macOS per chattare con modelli linguistici privati auto-ospitati (self-hosted) come Llama2, Mistral o Vicuna, utilizzando la piattaforma Ollama.","AI, Modelli Linguistici, LLM, Ollama, iOS, macOS, Chat",https://github.com/AugustDev/enchanted?s=35
voicecraft,VoiceCraft,"VoiceCraft è un progetto menzionato nel contesto della sintesi vocale (TTS) e dell'editing vocale, probabilmente una tecnica per la creazione e la modifica di voci ad alta fedeltà.","AI, Sintesi Vocale, TTS, Voice Editing, VoiceCraft, Deep Learning",https://github.com/jasonppy/VoiceCraft?s=35
aykutsaracjsoncrackcom-innovative-and-open-source-visualization-application-that,"AykutSarac/jsoncrack.com: Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into interactive graphs. - GitHub","Applicazione open-source di visualizzazione che converte vari formati di dati (JSON, YAML, XML, CSV) in grafici interattivi, rendendone più facile l'esplorazione, la formattazione e la validazione per gli sviluppatori.","JSON, Visualizzazione Dati, Grafico Interattivo, YAML, XML, Strumenti Sviluppatori, Open Source",https://github.com/AykutSarac/jsoncrack.com?s=35
